team_NHL_2024,prediction_NHL_2024,team_NHL_2023,prediction_NHL_2023,team_NHL_2022,prediction_NHL_2022,team_NHL_2021,prediction_NHL_2021,team_NHL_2020,prediction_NHL_2020,team_NHL_2019,prediction_NHL_2019,team_NHL_2018,prediction_NHL_2018,team_NHL_2017,prediction_NHL_2017,team_NHL_2016,prediction_NHL_2016,team_NHL_2015,prediction_NHL_2015,team_NHL_2014,prediction_NHL_2014,team_NHL_2013,prediction_NHL_2013,team_NHL_2012,prediction_NHL_2012,team_NHL_2011,prediction_NHL_2011,team_NHL_2010,prediction_NHL_2010,team_NHL_2009,prediction_NHL_2009
TOR,0.03638576227183977,LA,0.03595116893683083,CGY,0.039914378968648086,NSH,0.040531659057023,PIT,0.03669825813689702,NSH,0.03830055738817059,STL,0.03539787028407262,STL,0.03939271217276561,ANA,0.037782660904057346,WSH,0.03798814527232084,MIN,0.0358142318518183,OTT,0.03485600632189791,CHI,0.037423240138594,PHI,0.03817734722900844,COL,0.03587230576439761,ANA,0.038151633379236494
VGK,0.03396760728035809,SEA,0.035927291903975554,DAL,0.03480127125840859,MTL,0.037804138969068216,VAN,0.034872816733427674,SJ,0.03676300503495256,CBJ,0.03506037031435159,SJ,0.037959664524207105,NYI,0.037248890836587265,CGY,0.037317460787655,TB,0.03541994083988289,MIN,0.03422306472427896,ARI,0.03644467861643531,CHI,0.03730284065935174,PHI,0.033394947325424994,CBJ,0.036645989495246035
TB,0.033385502312816596,TB,0.03505025549132996,PIT,0.034668415887873005,VGK,0.035971582037953,WPG,0.03213275707510279,MTL,0.035166900432382985,LA,0.03369094245032394,NSH,0.03729067581743485,NSH,0.03371333470006076,DET,0.03339668481208997,CBJ,0.03198566585166826,WSH,0.03365845098470876,WSH,0.03430826975290014,MTL,0.03529673040961714,BUF,0.03274563110741072,CAR,0.03652621775141946
STL,0.03116431298151964,WPG,0.03334959092191751,NSH,0.032010936895530716,CGY,0.03433141898311542,CGY,0.03159503734444596,DAL,0.03475000380085561,FLA,0.03358233366062594,BOS,0.03478211450510232,BOS,0.03272729974678368,WPG,0.03323396312214064,PHI,0.03159461131821499,NYR,0.03341954017302281,DAL,0.03406686344260756,DAL,0.034823462561173135,STL,0.03260233138052344,NYR,0.033888419393870724
LA,0.030900878612656925,MIN,0.033200888605425215,WSH,0.03137665914071061,COL,0.032050960326455,TOR,0.03157097103423817,PIT,0.03238573180065011,COL,0.033320424079441545,CGY,0.03411734416583771,PHI,0.032139948398416954,DAL,0.03242494986118506,DAL,0.03159382683919346,CBJ,0.03188402900389673,SJ,0.03373538827036194,ARI,0.03479312146503695,CGY,0.03190726908931442,STL,0.03310644316672199
DET,0.02872744473538358,BUF,0.02992913445185015,LA,0.03125452688600834,VAN,0.028481559847453774,EDM,0.03148065099357683,VGK,0.032072400908822025,NJ,0.032821754477955316,TB,0.03281012734039131,DET,0.02986154701515781,OTT,0.03235284707735149,NSH,0.028103737085858123,VAN,0.0306852490805816,COL,0.03199724173595279,BUF,0.03348317340677535,ANA,0.03152256808436023,FLA,0.03154334061444183
WSH,0.025979430363296502,NSH,0.029572951180246693,VGK,0.029916909627738075,OTT,0.02845258116377084,NYR,0.0306882300667238,COL,0.029307793789143093,DAL,0.03216763909420874,NYI,0.032132962451151555,COL,0.029058571212016753,CBJ,0.031779003386481965,WPG,0.026831138074328905,NYI,0.029766108433302536,OTT,0.031438939115569386,NYR,0.03317550269872004,OTT,0.03150855312173775,NSH,0.030281027748526684
MIN,0.025951430356463755,NYI,0.028694512994382332,VAN,0.02585051554041658,NYR,0.027509007222565402,NSH,0.030425687672811178,ARI,0.026883529133550917,ANA,0.03170867458421931,TOR,0.029746604902347075,MIN,0.027635717024645737,PIT,0.03118536770627823,DET,0.02626611922216799,DAL,0.027599163893122024,BUF,0.02820226032236311,CGY,0.03166511366085997,MIN,0.029247278613364763,DAL,0.029394670241019112
BUF,0.02588160232837415,PIT,0.026847177158972134,WPG,0.02510025482099649,CHI,0.02628769920435875,FLA,0.029845462379477834,PHI,0.02513899734637992,PHI,0.030058660856687704,WPG,0.02932247472461159,NJ,0.0275492311479681,BOS,0.030289707076656666,ARI,0.026131003252991378,WPG,0.027479793773773457,FLA,0.027535997342740707,CAR,0.029264944743978876,DAL,0.028767003919035528,ARI,0.02835905724621397
NYI,0.025354937296349668,OTT,0.02561635521641648,CBJ,0.02223810328234032,DAL,0.024563941911021563,MIN,0.028787057505765084,MIN,0.0243930213002355,CGY,0.02454441372211799,LA,0.028789942551367086,OTT,0.027323095792542832,LA,0.029518634562796103,WSH,0.026106547475951904,PHI,0.02668019405784824,TB,0.026915464264842637,MIN,0.029104495342993957,BOS,0.02753751518119972,BUF,0.027135069163093953
PHI,0.02479913022520011,CGY,0.02312864230722752,NYI,0.021925928325501238,MIN,0.02448073425202689,CBJ,0.027693571674945103,CHI,0.02426502119760223,EDM,0.023386970625053325,PHI,0.028741912075444232,MTL,0.027190447323082748,COL,0.02950697264098905,TOR,0.025697067139336525,ARI,0.025349495103387788,CGY,0.026124076627174888,STL,0.02896000449269015,MTL,0.027469903211675917,MIN,0.02678260261955938
CGY,0.024632213174632836,VAN,0.023025166037151098,OTT,0.0183898618880207,PHI,0.024073056739854586,CHI,0.02743802562143149,FLA,0.023890820453376833,CAR,0.023102571557913874,CAR,0.0250860873721825,CAR,0.024106461885242472,SJ,0.029240974413161314,VAN,0.02490019794835183,BUF,0.023452558514652062,WPG,0.02568466916701739,NJ,0.027030354213651773,NYR,0.02526978365947261,OTT,0.02615898154931233
NJ,0.02462336845556808,STL,0.02236097476914297,DET,0.017570999478490272,DET,0.018580422844277026,ARI,0.02714794214100562,VAN,0.022333840102679733,NYI,0.021991738051937028,FLA,0.023500098465571134,WPG,0.024027132270994563,FLA,0.025973195841885358,OTT,0.02482113169217694,CGY,0.02042772306729908,MIN,0.02381845447765563,TOR,0.026191076661660633,CBJ,0.021680717153949525,MTL,0.02441696299877041
PIT,0.024569736741668076,DET,0.02078624940937247,BUF,0.017213472603495643,CBJ,0.017279718649533354,MTL,0.024894792702700338,EDM,0.022302844267090203,NYR,0.02092765525388579,DAL,0.022328974617919856,BUF,0.02354652119002185,PHI,0.020362465906329005,CAR,0.023720312605466656,EDM,0.020103415950222556,TOR,0.02346149914657886,CBJ,0.023440889907230963,WPG,0.021198784066079498,WPG,0.023408590578261657
OTT,0.023810122921718028,WSH,0.019994651233289463,SJ,0.017178642734196805,NJ,0.015902102696101258,BUF,0.022871509779064852,ANA,0.02222069464040792,CHI,0.020834809983240478,DET,0.02135509023270722,ARI,0.02340426237030911,NJ,0.01953907359579189,CGY,0.023691788632808165,NJ,0.019350120208797464,NYI,0.023404423301627845,WPG,0.02189789280480411,CAR,0.02119307790092196,LA,0.022701349385777742
ARI,0.022383572482323543,MTL,0.017000842394311794,ANA,0.016389091570322374,STL,0.012851728085286108,LA,0.022148511429041434,BUF,0.02060935967265365,VAN,0.018319789213797327,BUF,0.021328613032367053,CGY,0.02319963079749637,CAR,0.017608584045006717,NJ,0.02258022323587389,CAR,0.018385795320173287,ANA,0.023271459188643637,OTT,0.019521830722853867,NYI,0.020718537191146358,TOR,0.022037758407710058
SEA,0.01959340381131781,PHI,0.016840920329274842,CHI,0.01429537925725529,BUF,0.011765176884928777,SJ,0.021456209692282843,NYR,0.019660136293917278,DET,0.016769709213153263,VAN,0.018081472276008287,CBJ,0.022872820759710286,TOR,0.01754187992365925,NYI,0.021507181141626,NSH,0.016827352507916633,CAR,0.02137837646347256,COL,0.018605345062887746,TB,0.02034681792159348,EDM,0.020174287658930725
MTL,0.016675282969356494,ARI,0.013993379675901977,NJ,0.013235347347573926,ARI,0.011311860088731685,ANA,0.021102307186990597,DET,0.01960372503950256,ARI,0.01657774784329546,ARI,0.01800555675016768,VAN,0.019206040582572494,ARI,0.0129002253746063,EDM,0.017594091539904454,TB,0.01661327314949219,EDM,0.020596558181720955,NYI,0.018227420911419552,FLA,0.018588855039852303,COL,0.01976921325587279
CBJ,0.014138472031589043,CHI,0.012455833653416253,SEA,0.01318387403766368,SJ,0.009172991045676154,NJ,0.02073674038470845,NJ,0.01869382541221086,MTL,0.015913999915348448,NJ,0.016854759332657458,EDM,0.019070384096145192,EDM,0.012815161374590546,FLA,0.016594150669688616,COL,0.015667296464929075,MTL,0.019355188978258428,FLA,0.018124921655610454,EDM,0.01694100804088139,NYI,0.014594925514493508
ANA,0.013609083801497382,CBJ,0.012063285003975814,PHI,0.011853570855318412,LA,0.009172991045676154,OTT,0.016059740659493244,LA,0.018271350107122594,OTT,0.015091165095516227,COL,0.011647030072170234,TOR,0.01757848397154843,BUF,0.011961650975131995,BUF,0.01057418341220543,FLA,0.012956041067785482,CBJ,0.018408005390881593,EDM,0.01440855153895317,TOR,0.01678168975257514,TB,0.01366504727610088
CHI,0.01116415468603527,ANA,0.010373694673653538,ARI,0.011849582686835692,ANA,0.006843882444450839,DET,0.009360598894888456,OTT,0.016817526223777055,BUF,0.012803186015155678,,,,,,,,,,,,,,,,,,
SJ,0.008430053480820357,SJ,0.009801728721694646,MTL,0.009832231145531648,,,,,,,,,,,,,,,,,,,,,,,,,,
